topic_id,category,topic_raw,instruction,topic_content,topic_type,constraints,expected_anchors,topic_keyphrases
31,Science,Explain a scientific theory in simple words,explain,a scientific theory in simple words,explain,,definition|how_it_works|example|impact,simple words|scientific theory|theory in simple|words|scientific|theory|simple
32,Education,Discuss the challenges of online education,discuss,the challenges of online education,general,,main_point|supporting_points|example,online education|challenges of online|education|challenges|online
33,Sports,Talk about an inspiring athlete’s journey,talk about,an inspiring athlete’s journey,general,,main_point|supporting_points|example,athlete ’s journey|inspiring athlete|journey|inspiring|athlete
34,Lifestyle,Share a hobby that reduces stress,share,a hobby that reduces stress,general,,main_point|supporting_points|example,reduces stress|hobby that reduces|stress|hobby|reduces
35,Travel,Describe a city you want to visit and why,describe,a city you want to visit and why,explain,,definition|how_it_works|example|impact,city|visit
36,Business,Explain the importance of teamwork in a project,explain,the importance of teamwork in a project,explain,,definition|how_it_works|example|impact,importance of teamwork|project|importance|teamwork
37,Entertainment,Discuss a movie that changed your view of life,discuss,a movie that changed your view of life,opinion,,position|reason_1|reason_2|example,view of life|movie that changed|changed your view|life|movie|changed|view
38,Social Issues,Talk about the role of social media in society,talk about,the role of social media in society,general,,main_point|supporting_points|example,media in society|role of social|social media|society|role|social|media
39,Personal,Share your favorite childhood game,share,your favorite childhood game,general,past,main_point|supporting_points|example,favorite childhood game|childhood game|favorite childhood|game|favorite|childhood
40,Science,Describe an invention that changed the world,describe,an invention that changed the world,general,,main_point|supporting_points|example,changed the world|invention that changed|world|invention|changed
41,Environment,Explain how to live a sustainable lifestyle,explain,how to live a sustainable lifestyle,advice,,steps|example|why_it_works,sustainable lifestyle|live a sustainable|lifestyle|live|sustainable
42,Art & Literature,Talk about a famous author whose work inspired you,talk about,a famous author whose work inspired you,general,work,main_point|supporting_points|example,famous author|author whose work|work inspired|famous|author|work|inspired
43,Environment,Discuss the challenges of climate change,discuss,the challenges of climate change,general,,main_point|supporting_points|example,climate change|challenges of climate|change|challenges|climate
44,Personal,Describe a life-changing decision you made,describe,a life-changing decision you made,event,,time|place|what_happened|your_view,decision you made|life-changing decision|made|life-changing|decision
45,Food,Share a memorable meal you had,share,a memorable meal you had,experience,,time|place|who|what_happened|reflection,memorable meal|memorable|meal
46,Technology,Talk about the evolution of smartphones,talk about,the evolution of smartphones,general,,main_point|supporting_points|example,evolution of smartphones|smartphones|evolution
47,Social Issues,Explain the benefits of volunteering,explain,the benefits of volunteering,explain,,definition|how_it_works|example|impact,benefits of volunteering|volunteering|benefits
48,Entertainment,Describe a musical instrument you want to learn,describe,a musical instrument you want to learn,general,,main_point|supporting_points|example,musical instrument|learn|musical|instrument
49,Business,Discuss the importance of financial literacy,discuss,the importance of financial literacy,general,,main_point|supporting_points|example,financial literacy|importance of financial|literacy|importance|financial
50,History,Share a story about a historical landmark,share,a story about a historical landmark,story,,time|place|who|what_happened|result,historical landmark|landmark|story|historical
51,Lifestyle,Talk about the influence of fashion trends,talk about,the influence of fashion trends,general,,main_point|supporting_points|example,fashion trends|influence of fashion|trends|influence|fashion
52,Science,Explain a scientific phenomenon you recently discovered,explain,a scientific phenomenon you recently discovered,explain,recent,definition|how_it_works|example|impact,recently discovered|scientific phenomenon|phenomenon you recently|discovered|scientific|phenomenon|recently
53,Culture,Describe a cultural event you attended,describe,a cultural event you attended,event,,time|place|what_happened|your_view,event you attended|cultural event|attended|cultural|event
54,Education,Discuss how to balance studies and hobbies,discuss,how to balance studies and hobbies,advice,,steps|example|why_it_works,studies and hobbies|balance studies|hobbies|balance|studies
55,Relationships,Share an inspiring story from your family,share,an inspiring story from your family,story,personal,time|place|who|what_happened|result,inspiring story|family|inspiring|story
56,Science,Talk about a recent breakthrough in medicine,talk about,a recent breakthrough in medicine,general,recent,main_point|supporting_points|example,breakthrough in medicine|recent breakthrough|medicine|recent|breakthrough
57,Art & Literature,Explain the significance of art in society,explain,the significance of art in society,explain,,definition|how_it_works|example|impact,art in society|significance of art|society|significance|art
58,Technology,Discuss ways to improve urban transportation,discuss,ways to improve urban transportation,advice,,steps|example|why_it_works,improve urban transportation|urban transportation|improve urban|transportation|improve|urban
59,Social Issues,Describe a volunteer experience that touched you,describe,a volunteer experience that touched you,experience,,time|place|who|what_happened|reflection,volunteer experience|experience that touched|volunteer|experience|touched
60,Sports,Talk about your favorite sport to watch or play,talk about,your favorite sport to watch or play,general,,main_point|supporting_points|example,watch or play|favorite sport|sport to watch|play|favorite|sport|watch
61,Health & Fitness,Explain the benefits of mindfulness meditation,explain,the benefits of mindfulness meditation,explain,,definition|how_it_works|example|impact,mindfulness meditation|benefits of mindfulness|meditation|benefits|mindfulness
62,Personal,Share a memory from a school trip,share,a memory from a school trip,general,school,main_point|supporting_points|example,school trip|trip|memory|school
63,Education,Discuss the impact of e-learning platforms,discuss,the impact of e-learning platforms,general,,main_point|supporting_points|example,e-learning platforms|impact of e-learning|platforms|impact|e-learning
64,Culture,Describe a trend in modern architecture you like,describe,a trend in modern architecture you like,general,,main_point|supporting_points|example,trend in modern|modern architecture|trend|modern|architecture
65,Entertainment,Talk about your favorite TV series,talk about,your favorite TV series,general,,main_point|supporting_points|example,favorite tv series|series|favorite
66,Science,Explain the role of space exploration in modern science,explain,the role of space exploration in modern science,explain,,definition|how_it_works|example|impact,modern science|role of space|space exploration|exploration in modern|science|role|space|exploration
67,Environment,Share tips to reduce plastic use in daily life,share,tips to reduce plastic use in daily life,advice,,steps|example|why_it_works,tips to reduce|daily life|reduce plastic|tips|life|reduce|plastic|daily
68,Motivation,Discuss a leadership quality you admire,discuss,a leadership quality you admire,general,,main_point|supporting_points|example,quality you admire|leadership quality|admire|leadership|quality
69,Entertainment,Describe a memorable concert or performance you attended,describe,a memorable concert or performance you attended,experience,,time|place|who|what_happened|reflection,performance you attended|memorable concert|concert or performance|attended|memorable|concert|performance
70,Environment,Talk about the effects of pollution in your city,talk about,the effects of pollution in your city,general,,main_point|supporting_points|example,effects of pollution|city|effects|pollution
71,Science,Explain the process of a scientific experiment you tried,explain,the process of a scientific experiment you tried,explain,,definition|how_it_works|example|impact,scientific experiment|process|scientific|experiment
72,Social Issues,Share a story about teamwork in your school or community,share,a story about teamwork in your school or community,story,school,time|place|who|what_happened|result,school or community|story about teamwork|community|story|teamwork|school
73,Technology,Discuss the importance of learning coding,discuss,the importance of learning coding,general,,main_point|supporting_points|example,learning coding|importance of learning|coding|importance|learning
74,Food,Describe a local dish from your region,describe,a local dish from your region,general,,main_point|supporting_points|example,local dish|region|local|dish
75,Social Issues,Talk about an inspiring social campaign,talk about,an inspiring social campaign,general,,main_point|supporting_points|example,inspiring social campaign|social campaign|inspiring social|campaign|inspiring|social
76,Technology,Explain how technology impacts mental health,explain,how technology impacts mental health,explain,,definition|how_it_works|example|impact,impacts mental health|technology impacts mental|mental health|technology impacts|impacts mental|health|technology|impacts
77,Entertainment,Discuss the evolution of cinema,discuss,the evolution of cinema,general,,main_point|supporting_points|example,evolution of cinema|cinema|evolution
78,Lifestyle,Share your thoughts on work-life balance,share,your thoughts on work-life balance,general,work,main_point|supporting_points|example,work-life balance|thoughts on work-life|balance|thoughts|work-life
79,Culture,Describe a traditional craft or skill from your culture,describe,a traditional craft or skill from your culture,general,,main_point|supporting_points|example,traditional craft|craft or skill|culture|traditional|craft|skill
80,Personal,Talk about a challenge you faced while learning something new,talk about,a challenge you faced while learning something new,general,,main_point|supporting_points|example,challenge you faced|faced while learning|challenge|faced|learning
81,Environment,Explain the benefits of planting trees,explain,the benefits of planting trees,explain,,definition|how_it_works|example|impact,planting trees|benefits of planting|trees|benefits|planting
82,History,Discuss a historical event that shaped your country,discuss,a historical event that shaped your country,event,,time|place|what_happened|your_view,shaped your country|historical event|event that shaped|country|historical|event|shaped
83,Motivation,Share tips for staying motivated during studies,share tips for,staying motivated during studies,advice,,steps|example|why_it_works,staying motivated|motivated during studies|staying|studies|motivated
84,Relationships,Describe a relationship that taught you an important lesson,describe,a relationship that taught you an important lesson,general,personal,main_point|supporting_points|example,important lesson|relationship that taught|lesson|relationship|taught|important
85,Lifestyle,Talk about a hobby that helps you focus,talk about,a hobby that helps you focus,general,,main_point|supporting_points|example,focus|hobby
86,Culture,Describe a tradition your family follows,describe,a tradition your family follows,general,personal,main_point|supporting_points|example,tradition your family|tradition|family
87,Science,Explain a scientific experiment you’d like to try,explain,a scientific experiment you’d like to try,explain,,definition|how_it_works|example|impact,scientific experiment|scientific|experiment
88,Health & Fitness,Discuss the benefits of journaling,discuss,the benefits of journaling,general,,main_point|supporting_points|example,benefits of journaling|journaling|benefits
89,Education,Share a memorable learning experience,share,a memorable learning experience,experience,,time|place|who|what_happened|reflection,memorable learning experience|learning experience|memorable learning|experience|memorable|learning
90,Technology,Talk about a technology that improved your life,talk about,a technology that improved your life,general,,main_point|supporting_points|example,improved your life|technology that improved|life|technology|improved
91,History,Describe a historical figure who overcame adversity,describe,a historical figure who overcame adversity,general,,main_point|supporting_points|example,overcame adversity|historical figure|figure who overcame|adversity|historical|figure|overcame
92,Art & Literature,Discuss a book character you relate to,discuss,a book character you relate to,general,,main_point|supporting_points|example,book character|character you relate|book|character|relate
93,Social Issues,Explain a social cause you support,explain,a social cause you support,explain,,definition|how_it_works|example|impact,support|social
94,Lifestyle,Share your favorite way to spend a weekend,share,your favorite way to spend a weekend,general,,main_point|supporting_points|example,spend a weekend|weekend|favorite|spend
95,Motivation,Talk about an inspiring leader in your community,talk about,an inspiring leader in your community,general,,main_point|supporting_points|example,inspiring leader|community|inspiring|leader
96,Education,Describe a challenging project at school,describe,a challenging project at school,general,school,main_point|supporting_points|example,project at school|challenging project|school|challenging|project
97,Entertainment,Explain how music affects your mood,explain,how music affects your mood,explain,,definition|how_it_works|example|impact,affects your mood|music affects|mood|music|affects
98,Culture,Discuss a cultural difference that fascinates you,discuss,a cultural difference that fascinates you,compare,,item_a|item_b|similarities|differences|conclusion,cultural difference|difference that fascinates|cultural|difference|fascinates
99,Travel,Share a travel experience that taught you something,share,a travel experience that taught you something,experience,,time|place|who|what_happened|reflection,travel experience|experience that taught|travel|experience|taught
100,Science,Talk about an invention you think should exist,talk about,an invention you think should exist,general,,main_point|supporting_points|example,exist|invention
101,Personal,Describe a person who influenced your career goals,describe,a person who influenced your career goals,general,,main_point|supporting_points|example,career goals|person who influenced|influenced your career|goals|person|influenced|career
102,Environment,Explain the impact of climate change on wildlife,explain,the impact of climate change on wildlife,explain,,definition|how_it_works|example|impact,change on wildlife|impact of climate|climate change|wildlife|impact|climate|change
103,Current Affairs,Discuss the importance of voting,discuss,the importance of voting,general,,main_point|supporting_points|example,importance of voting|voting|importance
104,Personal,Share a skill you learned from your parents,share,a skill you learned from your parents,general,,main_point|supporting_points|example,skill you learned|parents|skill|learned
105,Culture,Talk about a memorable festival you attended,talk about,a memorable festival you attended,experience,,time|place|who|what_happened|reflection,festival you attended|memorable festival|attended|memorable|festival
106,Entertainment,Describe a movie that made you think differently,describe,a movie that made you think differently,general,,main_point|supporting_points|example,movie that made|differently|movie|made
107,Social Issues,Explain the benefits of community service,explain,the benefits of community service,explain,,definition|how_it_works|example|impact,community service|benefits of community|service|benefits|community
108,Technology,Discuss how technology has changed education,discuss,how technology has changed education,explain,,definition|how_it_works|example|impact,changed education|technology has changed|education|technology|changed
109,Lifestyle,Share a favorite outdoor activity,share,a favorite outdoor activity,general,,main_point|supporting_points|example,favorite outdoor activity|outdoor activity|favorite outdoor|activity|favorite|outdoor
110,Personal,Talk about a local hero in your town,talk about,a local hero in your town,general,,main_point|supporting_points|example,local hero|town|local|hero
111,Science,Describe a scientific discovery that excites you,describe,a scientific discovery that excites you,general,,main_point|supporting_points|example,scientific discovery|discovery that excites|scientific|discovery|excites
112,Sports,Explain how sports can build character,explain,how sports can build character,explain,,definition|how_it_works|example|impact,build character|sports can build|character|sports|build
113,History,Discuss a historical event you wish you witnessed,discuss,a historical event you wish you witnessed,event,,time|place|what_happened|your_view,historical event|witnessed|historical|event
114,Health & Fitness,Share tips for a healthier lifestyle,share tips for,a healthier lifestyle,advice,,steps|example|why_it_works,healthier lifestyle|lifestyle|healthier
115,Art & Literature,Talk about a piece of art that inspired you,talk about,a piece of art that inspired you,general,,main_point|supporting_points|example,piece of art|art that inspired|piece|art|inspired
116,Education,Describe a language you want to learn and why,describe,a language you want to learn and why,explain,,definition|how_it_works|example|impact,language|learn
117,Environment,Explain the environmental impact of fast food,explain,the environmental impact of fast food,explain,,definition|how_it_works|example|impact,fast food|environmental impact|impact of fast|food|environmental|impact|fast
118,Education,Discuss the challenges of learning online,discuss,the challenges of learning online,general,,main_point|supporting_points|example,learning online|challenges of learning|online|challenges|learning
119,Food,Share a memorable meal from your travels,share,a memorable meal from your travels,experience,,time|place|who|what_happened|reflection,memorable meal|travels|memorable|meal
120,Social Issues,Talk about a social issue in your community,talk about,a social issue in your community,general,,main_point|supporting_points|example,social issue|community|social|issue
121,Business,Describe an innovative business idea,describe,an innovative business idea,general,,main_point|supporting_points|example,innovative business idea|business idea|innovative business|idea|innovative|business
122,Education,Explain how reading helps your creativity,explain,how reading helps your creativity,explain,,definition|how_it_works|example|impact,creativity|reading
123,Science,Discuss a famous scientific theory in simple terms,discuss,a famous scientific theory in simple terms,general,,main_point|supporting_points|example,famous scientific theory|simple terms|famous scientific|scientific theory|theory in simple|terms|famous|scientific
124,Motivation,Share a motivational story you heard recently,share,a motivational story you heard recently,story,recent,time|place|who|what_happened|result,heard recently|motivational story|story you heard|recently|motivational|story|heard
125,Sports,Talk about a sport that promotes teamwork,talk about,a sport that promotes teamwork,general,,main_point|supporting_points|example,promotes teamwork|sport that promotes|teamwork|sport|promotes
126,Culture,Describe a cultural event that left an impression,describe,a cultural event that left an impression,event,,time|place|what_happened|your_view,left an impression|cultural event|event that left|impression|cultural|event|left
127,Environment,Explain the effects of pollution on oceans,explain,the effects of pollution on oceans,explain,,definition|how_it_works|example|impact,pollution on oceans|effects of pollution|oceans|effects|pollution
128,History,Discuss a person in history you admire,discuss,a person in history you admire,general,,main_point|supporting_points|example,history you admire|person in history|admire|person|history
129,Personal,Share your favorite childhood memory with friends,share,your favorite childhood memory with friends,general,past,main_point|supporting_points|example,favorite childhood memory|memory with friends|favorite childhood|childhood memory|friends|favorite|childhood|memory
130,Entertainment,Talk about a musical instrument you want to play,talk about,a musical instrument you want to play,general,,main_point|supporting_points|example,musical instrument|play|musical|instrument
131,Personal,Describe a challenge in your school or community,describe,a challenge in your school or community,general,school,main_point|supporting_points|example,school or community|community|challenge|school
132,Technology,Explain how technology impacts daily life,explain,how technology impacts daily life,explain,,definition|how_it_works|example|impact,impacts daily life|technology impacts daily|daily life|technology impacts|impacts daily|life|technology|impacts
133,History,Discuss the role of women in history,discuss,the role of women in history,general,,main_point|supporting_points|example,women in history|role of women|history|role|women
134,Food,Share a recipe you recently tried,share,a recipe you recently tried,general,recent,main_point|supporting_points|example,recipe you recently|recipe|recently
135,Culture,Talk about a famous building you want to visit,talk about,a famous building you want to visit,general,,main_point|supporting_points|example,famous building|visit|famous|building
136,Education,Describe an inspiring teacher you had,describe,an inspiring teacher you had,general,school,main_point|supporting_points|example,inspiring teacher|inspiring|teacher
137,Health & Fitness,Explain how mindfulness improves focus,explain,how mindfulness improves focus,explain,,definition|how_it_works|example|impact,mindfulness improves focus|improves focus|mindfulness improves|focus|mindfulness|improves
138,Entertainment,Discuss a movie that taught you a life lesson,discuss,a movie that taught you a life lesson,general,,main_point|supporting_points|example,life lesson|movie that taught|lesson|movie|taught|life
139,Social Issues,Share a social campaign that impressed you,share,a social campaign that impressed you,general,,main_point|supporting_points|example,social campaign|campaign that impressed|social|campaign|impressed
140,Environment,Talk about an environmental solution you support,talk about,an environmental solution you support,general,,main_point|supporting_points|example,solution you support|environmental solution|support|environmental|solution
141,Health & Fitness,Describe a hobby that improves mental health,describe,a hobby that improves mental health,general,,main_point|supporting_points|example,improves mental health|mental health|hobby that improves|improves mental|health|hobby|improves|mental
142,Culture,Explain the significance of cultural heritage,explain,the significance of cultural heritage,explain,,definition|how_it_works|example|impact,cultural heritage|significance of cultural|heritage|significance|cultural
143,Lifestyle,Discuss the challenges of balancing school and hobbies,discuss,the challenges of balancing school and hobbies,general,school,main_point|supporting_points|example,school and hobbies|challenges of balancing|balancing school|hobbies|challenges|balancing|school
144,Personal,Share a recent personal achievement,share,a recent personal achievement,general,recent,main_point|supporting_points|example,recent personal achievement|personal achievement|recent personal|achievement|recent|personal
145,History,Talk about a historical artifact you find fascinating,talk about,a historical artifact you find fascinating,general,,main_point|supporting_points|example,find fascinating|historical artifact|artifact you find|fascinating|historical|artifact|find
146,Travel,Describe an outdoor adventure you want to try,describe,an outdoor adventure you want to try,general,,main_point|supporting_points|example,outdoor adventure|outdoor|adventure
147,Sports,Explain how sports inspire discipline,explain,how sports inspire discipline,explain,,definition|how_it_works|example|impact,sports inspire discipline|inspire discipline|sports inspire|discipline|sports|inspire
148,Technology,Discuss the evolution of digital technology,discuss,the evolution of digital technology,general,,main_point|supporting_points|example,digital technology|evolution of digital|technology|evolution|digital
149,Motivation,Share a motivational quote that helped you,share,a motivational quote that helped you,general,,main_point|supporting_points|example,motivational quote|quote that helped|motivational|quote|helped
150,Social Issues,Talk about a social issue in another country,talk about,a social issue in another country,general,,main_point|supporting_points|example,social issue|country|social|issue
151,Personal,Describe a favorite childhood book,describe,a favorite childhood book,general,past,main_point|supporting_points|example,favorite childhood book|childhood book|favorite childhood|book|favorite|childhood
152,Health & Fitness,Explain the benefits of a plant-based diet,explain,the benefits of a plant-based diet,explain,,definition|how_it_works|example|impact,plant-based diet|diet|benefits|plant-based
153,Culture,Discuss a festival in another culture,discuss,a festival in another culture,general,,main_point|supporting_points|example,culture|festival
154,Education,Share a story about teamwork in your school,share,a story about teamwork in your school,story,school,time|place|who|what_happened|result,story about teamwork|school|story|teamwork
155,Science,Talk about an invention that changed the world,talk about,an invention that changed the world,general,,main_point|supporting_points|example,changed the world|invention that changed|world|invention|changed
156,Art & Literature,Describe a famous artist or musician you admire,describe,a famous artist or musician you admire,general,,main_point|supporting_points|example,musician you admire|famous artist|artist or musician|admire|famous|artist|musician
157,Environment,Explain the importance of recycling,explain,the importance of recycling,explain,,definition|how_it_works|example|impact,importance of recycling|recycling|importance
158,Current Affairs,Discuss a recent political change,discuss,a recent political change,general,recent,main_point|supporting_points|example,recent political change|political change|recent political|change|recent|political
159,Education,Share tips to improve study habits,share,tips to improve study habits,advice,,steps|example|why_it_works,improve study habits|tips to improve|study habits|improve study|tips|habits|improve|study
160,Science,Talk about a science project you’d like to do,talk about,a science project you’d like to do,general,,main_point|supporting_points|example,science project|science|project
161,Culture,Describe a unique tradition from your region,describe,a unique tradition from your region,general,,main_point|supporting_points|example,unique tradition|region|unique|tradition
162,Social Issues,Explain the effects of social media on youth,explain,the effects of social media on youth,explain,,definition|how_it_works|example|impact,media on youth|effects of social|social media|youth|effects|social|media
163,Business,Discuss an inspiring entrepreneur,discuss,an inspiring entrepreneur,general,,main_point|supporting_points|example,inspiring entrepreneur|entrepreneur|inspiring
164,Personal,Share a personal goal for the next year,share,a personal goal for the next year,general,,main_point|supporting_points|example,personal goal|year|personal|goal
165,Entertainment,Talk about an interesting documentary you watched,talk about,an interesting documentary you watched,general,,main_point|supporting_points|example,documentary you watched|interesting documentary|watched|interesting|documentary
166,Travel,Describe a city you dream of living in,describe,a city you dream of living in,general,,main_point|supporting_points|example,city you dream|dream of living|city|dream|living
167,Technology,Explain how technology affects relationships,explain,how technology affects relationships,explain,,definition|how_it_works|example|impact,technology affects relationships|affects relationships|technology affects|relationships|technology|affects
168,History,Discuss the history of a famous landmark,discuss,the history of a famous landmark,general,,main_point|supporting_points|example,famous landmark|landmark|history|famous
169,Food,Share a recipe from your family,share,a recipe from your family,general,personal,main_point|supporting_points|example,family|recipe
170,Motivation,Talk about a motivational speaker you like,talk about,a motivational speaker you like,general,,main_point|supporting_points|example,motivational speaker|motivational|speaker
171,Personal,Describe a skill that helps in everyday life,describe,a skill that helps in everyday life,general,,main_point|supporting_points|example,everyday life|life|skill|everyday
172,Health & Fitness,Explain the benefits of meditation,explain,the benefits of meditation,explain,,definition|how_it_works|example|impact,benefits of meditation|meditation|benefits
173,Science,Discuss a recent scientific breakthrough,discuss,a recent scientific breakthrough,general,recent,main_point|supporting_points|example,recent scientific breakthrough|scientific breakthrough|recent scientific|breakthrough|recent|scientific
174,Culture,Share a cultural experience that surprised you,share,a cultural experience that surprised you,experience,,time|place|who|what_happened|reflection,cultural experience|experience that surprised|cultural|experience|surprised
175,Social Issues,Talk about a social issue you want to solve,talk about,a social issue you want to solve,general,,main_point|supporting_points|example,social issue|solve|social|issue
176,Entertainment,Describe a memorable performance you watched,describe,a memorable performance you watched,experience,,time|place|who|what_happened|reflection,performance you watched|memorable performance|watched|memorable|performance
177,Environment,Explain the impact of climate change on humans,explain,the impact of climate change on humans,explain,,definition|how_it_works|example|impact,change on humans|impact of climate|climate change|humans|impact|climate|change
178,Education,Discuss the role of education in society,discuss,the role of education in society,general,,main_point|supporting_points|example,education in society|role of education|society|role|education
179,Personal,Share a lesson learned from a mistake,share,a lesson learned from a mistake,general,,main_point|supporting_points|example,lesson learned|mistake|lesson|learned
180,Sports,Talk about your favorite sports team,talk about,your favorite sports team,general,,main_point|supporting_points|example,favorite sports team|sports team|favorite sports|team|favorite|sports
181,Culture,Describe a local tradition you enjoy,describe,a local tradition you enjoy,general,,main_point|supporting_points|example,tradition you enjoy|local tradition|enjoy|local|tradition
182,Education,Explain the importance of teamwork in school,explain,the importance of teamwork in school,explain,past|school,definition|how_it_works|example|impact,teamwork in school|importance of teamwork|school|importance|teamwork
183,Technology,Discuss the influence of technology on creativity,discuss,the influence of technology on creativity,general,,main_point|supporting_points|example,technology on creativity|influence of technology|creativity|influence|technology
184,Motivation,Share a motivational story from your family,share,a motivational story from your family,story,personal,time|place|who|what_happened|result,motivational story|family|motivational|story
185,History,Talk about a historical site you visited,talk about,a historical site you visited,general,,main_point|supporting_points|example,site you visited|historical site|visited|historical|site
186,Personal,Talk about a childhood habit you miss,talk about,a childhood habit you miss,general,past,main_point|supporting_points|example,habit you miss|childhood habit|miss|childhood|habit
187,Personal,Describe a life lesson you learned from failure,describe,a life lesson you learned from failure,general,,main_point|supporting_points|example,learned from failure|life lesson|lesson you learned|failure|life|lesson|learned
188,Technology,Explain a recent technological innovation,explain,a recent technological innovation,explain,recent,definition|how_it_works|example|impact,recent technological innovation|technological innovation|recent technological|innovation|recent|technological
189,Technology,Discuss the impact of social media on communication,discuss,the impact of social media on communication,general,,main_point|supporting_points|example,media on communication|impact of social|social media|communication|impact|social|media
190,Culture,Share a cultural custom unique to your region,share,a cultural custom unique to your region,general,,main_point|supporting_points|example,cultural custom unique|cultural custom|custom unique|region|cultural|custom|unique
191,Business,Talk about the challenges of starting a small business,talk about,the challenges of starting a small business,general,,main_point|supporting_points|example,small business|challenges of starting|starting a small|business|challenges|starting|small
192,Personal,Describe a hobby you want to pursue in the future,describe,a hobby you want to pursue in the future,general,,main_point|supporting_points|example,future|hobby|pursue
193,Travel,Explain a travel experience that changed your perspective,explain,a travel experience that changed your perspective,explain,,definition|how_it_works|example|impact,changed your perspective|travel experience|experience that changed|perspective|travel|experience|changed
